"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級数,学級数（学級）,（再掲）特別支援学級数
瀬戸内市立国府小学校,56,46,49,47,36,48,158,124,282,20,15,4
瀬戸内市立行幸小学校,46,55,66,68,61,65,198,163,361,21,16,4
赤磐市立山陽小学校,71,53,60,51,59,73,182,185,367,22,16,4
赤磐市立山陽西小学校,35,32,24,28,29,34,92,90,182,26,10,4
赤磐市立山陽東小学校,110,95,117,86,89,70,291,276,567,45,24,7
赤磐市立山陽北小学校,90,80,81,82,97,84,252,262,514,27,22,4
赤磐市立石相小学校,12,8,13,16,14,22,43,42,85,18,9,3
赤磐市立軽部小学校,13,8,9,7,11,11,28,31,59,,6,
赤磐市立笹岡小学校,1,6,4,4,4,6,11,14,25,,3,
赤磐市立豊田小学校,13,16,10,17,8,16,36,44,80,3,7,1
赤磐市立磐梨小学校,9,11,17,14,15,17,53,30,83,3,7,1
赤磐市立桜が丘小学校,44,68,65,56,58,50,181,160,341,38,18,6
赤磐市立城南小学校,7,18,13,12,15,13,43,35,78,7,8,2
赤磐市立仁美小学校,10,3,7,2,5,5,14,18,32,,4,
真庭市立北房小学校,39,26,31,34,38,42,110,100,210,6,10,2
真庭市立落合小学校,24,38,29,30,36,29,102,84,186,4,9,2
真庭市立天津小学校,30,27,29,22,26,20,82,72,154,2,7,1
真庭市立木山小学校,16,11,15,15,19,18,52,42,94,,6,
真庭市立木山小学校日野上分校,,,,,,,,,,,,
真庭市立美川小学校,20,16,24,12,13,23,53,55,108,,6,
真庭市立河内小学校,9,11,7,8,11,7,34,19,53,1,7,1
真庭市立川東小学校,19,13,15,17,18,16,42,56,98,2,7,1
真庭市立遷喬小学校,70,62,57,77,68,69,207,196,403,10,15,2
真庭市立草加部小学校,4,4,5,9,8,10,24,16,40,1,5,1
真庭市立米来小学校,17,17,12,12,16,13,49,38,87,,6,
真庭市立樫邑小学校,,1,2,2,,3,4,4,8,,2,
真庭市立余野小学校,3,3,2,4,1,4,11,6,17,,3,
真庭市立勝山小学校,36,24,39,39,43,47,119,109,228,8,13,3
真庭市立月田小学校,5,4,14,7,7,11,28,20,48,,6,
真庭市立富原小学校,8,5,4,4,3,7,16,15,31,,4,
真庭市立美甘小学校,6,6,12,6,8,8,21,25,46,1,7,1
真庭市立湯原小学校,13,8,21,17,21,12,43,49,92,5,7,1
真庭市立中和小学校,4,1,6,1,8,3,7,16,23,,3,
真庭市立八束小学校,17,14,20,21,26,23,50,71,121,4,7,1
真庭市立川上小学校,13,11,14,16,18,13,45,40,85,5,8,2
美作市立勝田小学校,16,14,15,14,15,17,41,50,91,7,8,2
美作市立勝田東小学校,3,5,3,3,5,3,15,7,22,,3,
美作市立大原小学校,28,25,20,29,32,36,85,85,170,18,9,3
美作市立東粟倉小学校,2,,6,8,10,8,21,13,34,,5,
美作市立美作第一小学校,36,34,39,35,34,41,103,116,219,27,10,4
美作市立美作北小学校,62,54,41,53,44,63,167,150,317,24,15,4
美作市立江見小学校,25,23,16,20,31,24,74,65,139,13,8,2
美作市立土居小学校,8,8,9,12,9,14,37,23,60,4,8,2
美作市立英田小学校,8,20,9,15,23,11,50,36,86,15,9,3
浅口市立金光竹小学校,8,4,8,9,10,8,25,22,47,,6,
浅口市立金光小学校,62,68,57,66,54,55,170,192,362,16,15,3
浅口市立金光吉備小学校,28,23,30,34,37,22,90,84,174,6,8,2
浅口市立鴨方東小学校,51,61,64,48,54,70,171,177,348,8,14,2
浅口市立鴨方西小学校,19,25,26,31,28,23,78,74,152,8,8,2
浅口市立鴨方西小学校阿部山分校,,,,,,,,,,,,
浅口市立六条院小学校,64,51,63,63,59,63,187,176,363,15,14,2
浅口市立寄島小学校,23,31,28,31,35,28,90,86,176,10,9,3
和気町立佐伯小学校,15,17,10,15,19,15,48,43,91,2,7,1
和気町立和気小学校,36,34,39,26,36,38,93,116,209,5,13,2
和気町立本荘小学校,49,41,41,47,37,50,141,124,265,25,16,4
早島町立早島小学校,148,127,121,156,125,136,441,372,813,53,33,8
里庄町立里庄東小学校,51,42,47,54,49,47,158,132,290,6,14,2
里庄町立里庄西小学校,77,56,58,65,47,59,191,171,362,15,16,3
矢掛町立美川小学校,7,4,7,3,8,8,19,18,37,3,5,1
矢掛町立矢掛小学校,22,32,26,44,25,36,98,87,185,17,10,3
矢掛町立三谷小学校,15,11,10,13,11,12,37,35,72,4,7,1
矢掛町立山田小学校,16,20,11,10,14,15,41,45,86,5,7,1
矢掛町立川面小学校,18,18,12,15,15,20,51,47,98,3,7,1
矢掛町立中川小学校,11,5,4,10,5,7,16,26,42,2,5,1
矢掛町立小田小学校,12,19,14,15,11,11,39,43,82,5,7,1
新庄村立新庄小学校,8,8,7,5,10,6,22,22,44,,4,
鏡野町立南小学校,40,48,37,53,46,39,151,112,263,11,14,2
