"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数,
美作市立美作北小学校,41,55,45,62,65,51,169,150,319,26,16,4
美作市立江見小学校,16,19,33,25,20,38,82,69,151,15,8,2
美作市立土居小学校,8,13,10,15,16,15,47,30,77,6,8,2
美作市立英田小学校,9,15,23,11,19,27,54,50,104,15,9,3
浅口市立金光竹小学校,8,8,10,8,8,8,26,24,50,0,6,0
浅口市立金光小学校,56,61,55,52,65,60,188,161,349,15,15,3
浅口市立金光吉備小学校,30,34,37,24,31,30,99,87,186,7,9,2
浅口市立鴨方東小学校,63,49,54,73,60,67,193,173,366,14,15,3
浅口市立鴨方西小学校,26,33,28,23,28,25,88,75,163,7,8,2
浅口市立鴨方西小学校阿部山分校,0,0,0,0,0,0,0,0,0,0,0,0
浅口市立六条院小学校,63,62,57,62,66,64,196,178,374,11,14,2
浅口市立寄島小学校,30,30,35,30,30,29,91,93,184,4,8,2
和気町立佐伯小学校,10,15,19,15,18,25,48,54,102,2,7,1
和気町立和気小学校,38,25,37,36,35,43,101,113,214,5,13,2
和気町立本荘小学校,43,47,36,49,37,54,137,129,266,16,15,3
早島町立早島小学校,119,154,126,136,138,109,406,376,782,40,32,7
里庄町立里庄東小学校,49,51,50,50,47,40,145,142,287,5,14,2
里庄町立里庄西小学校,59,62,45,58,66,60,186,164,350,13,14,2
矢掛町立美川小学校,6,3,9,6,7,8,18,21,39,1,5,1
矢掛町立矢掛小学校,28,43,23,36,33,30,96,97,193,12,9,2
矢掛町立三谷小学校,9,13,13,13,13,13,33,41,74,4,7,1
矢掛町立山田小学校,10,10,14,13,13,11,38,33,71,5,8,2
矢掛町立川面小学校,11,14,15,19,12,18,50,39,89,1,7,1
矢掛町立中川小学校,4,9,5,7,13,16,14,40,54,2,7,1
矢掛町立小田小学校,14,15,11,11,18,10,41,38,79,7,7,1
新庄村立新庄小学校,7,5,9,6,6,8,21,20,41,0,4,0
鏡野町立南小学校,38,53,47,39,39,38,144,110,254,10,14,2
鏡野町立大野小学校,29,24,27,29,22,29,87,73,160,8,8,2
鏡野町立鶴喜小学校,10,20,18,21,11,19,49,50,99,11,8,2
