"小学校生徒数,学級数",一学年（人）,二学年（人）,三学年（人）,四学年（人）,五学年（人）,六学年（人）,男（人）,女（人）,男女合計（人）,児童数（再掲）特別支援学級,学級数（学級）,（再掲）特別支援学級数
津山市立北小学校,44,36,35,41,45,45,113,133,246,7,13,2
津山市立林田小学校,42,43,40,48,45,46,128,136,264,16,14,2
津山市立鶴山小学校,60,70,69,73,64,81,210,207,417,22,17,4
津山市立弥生小学校,88,96,72,100,83,85,280,244,524,15,20,3
津山市立向陽小学校,44,34,47,45,38,42,130,120,250,16,13,3
津山市立院庄小学校,21,19,20,27,35,31,64,89,153,11,8,2
津山市立佐良山小学校,39,47,45,32,50,52,145,120,265,13,14,3
津山市立一宮小学校,68,67,87,80,88,79,258,211,469,20,19,3
津山市立高田小学校,18,21,19,28,22,16,76,48,124,11,9,3
津山市立清泉小学校,11,16,16,10,11,14,44,34,78,6,7,1
津山市立高倉小学校,16,16,16,17,11,13,43,46,89,5,8,2
津山市立高野小学校,67,94,58,82,77,99,250,227,477,22,20,4
津山市立成名小学校,17,18,14,19,17,14,62,37,99,7,8,2
津山市立河辺小学校,51,39,52,52,45,47,143,143,286,11,14,2
津山市立大崎小学校,38,30,28,28,30,36,96,94,190,11,9,2
津山市立広野小学校,21,13,25,16,18,11,53,51,104,5,8,2
津山市立加茂小学校,26,37,23,30,48,41,110,95,205,6,9,2
津山市立新野小学校,15,11,21,17,15,17,49,47,96,7,8,2
津山市立広戸小学校,13,6,11,9,12,14,35,30,65,0,6,0
津山市立勝加茂小学校,25,20,24,23,20,29,70,71,141,8,8,2
津山市立喬松小学校,9,9,14,10,6,10,28,30,58,2,7,1
津山市立中正小学校,14,11,9,13,18,14,40,39,79,4,8,2
津山市立誠道小学校,17,13,11,25,11,18,54,41,95,2,7,1
津山市立秀実小学校,19,15,16,12,16,11,49,40,89,3,7,1
玉野市立田井小学校,43,64,48,57,65,66,184,159,343,8,13,1
玉野市立築港小学校,18,19,8,9,16,22,43,49,92,3,7,1
玉野市立宇野小学校,35,28,33,34,23,32,87,98,185,13,8,2
玉野市立玉小学校,12,14,19,20,15,17,58,39,97,8,8,2
玉野市立玉原小学校,19,25,32,38,25,33,93,79,172,11,9,2
玉野市立日比小学校,15,19,23,25,29,25,73,63,136,5,8,2
玉野市立第二日比小学校,22,18,20,32,28,23,82,61,143,9,8,2
玉野市立山田小学校,8,15,13,15,13,14,40,38,78,5,7,1
玉野市立後閑小学校,4,3,10,8,7,6,19,19,38,3,6,1
玉野市立荘内小学校,125,116,119,111,120,117,356,352,708,40,31,7
玉野市立八浜小学校,31,27,22,29,28,26,89,74,163,9,8,2
玉野市立大崎小学校,13,9,20,12,16,19,51,38,89,5,7,1
玉野市立胸上小学校,11,12,12,13,16,18,52,30,82,2,7,1
玉野市立鉾立小学校,11,12,18,16,15,8,47,33,80,3,7,1
笠岡市立笠岡小学校,44,47,38,34,39,29,122,109,231,5,11,2
笠岡市立中央小学校,92,77,109,86,130,93,295,292,587,21,23,3
笠岡市立今井小学校,8,10,8,12,5,7,23,27,50,0,6,0
笠岡市立金浦小学校,36,33,32,38,35,39,114,99,213,3,9,1
笠岡市立城見小学校,23,25,25,22,23,28,67,79,146,5,7,1
笠岡市立陶山小学校,7,3,11,8,5,7,26,15,41,2,6,1
笠岡市立大井小学校,26,41,38,35,31,42,103,110,213,9,11,2
笠岡市立吉田小学校,16,12,24,21,17,19,51,58,109,6,8,2
笠岡市立新山小学校,13,9,7,15,10,10,35,29,64,2,7,1
笠岡市立神内小学校,13,24,18,15,20,19,63,46,109,4,8,2
笠岡市立大島小学校,37,39,43,35,33,23,96,114,210,6,11,2
笠岡市立神島外小学校,3,2,6,4,4,3,10,12,22,0,3,0
笠岡市立白石小学校,0,0,1,0,1,1,1,2,3,0,2,0
笠岡市立北木小学校,1,2,2,1,3,0,3,6,9,0,3,0
笠岡市立真鍋小学校,0,0,2,0,1,1,2,2,4,0,2,0
笠岡市立六島小学校,0,0,0,2,0,1,1,2,3,0,1,0
笠岡市立北川小学校,12,11,14,17,21,23,55,43,98,2,8,2
井原市立高屋小学校,31,33,35,30,35,37,99,102,201,19,9,3
井原市立大江小学校,18,20,14,11,20,12,44,51,95,2,7,1
井原市立稲倉小学校,11,10,13,10,15,11,36,34,70,8,8,2
井原市立県主小学校,9,9,10,8,5,10,20,31,51,2,7,1
井原市立木之子小学校,21,29,21,22,28,15,79,57,136,6,7,1
井原市立荏原小学校,16,18,16,23,20,20,64,49,113,10,9,3
井原市立西江原小学校,36,35,31,43,38,36,117,102,219,5,10,2
井原市立野上小学校,2,1,5,1,3,2,8,6,14,0,3,0
井原市立青野小学校,9,5,8,5,1,7,18,17,35,0,4,0
井原市立井原小学校,29,30,34,41,30,28,97,95,192,12,9,2
井原市立出部小学校,63,56,67,76,68,66,194,202,396,20,17,4
井原市立芳井小学校,31,33,32,23,28,33,91,89,180,6,8,2
井原市立明治小学校,0,0,0,0,0,0,0,0,0,0,0,0
井原市立美星小学校,17,21,20,18,25,29,66,64,130,6,7,1
総社市立総社小学校,139,125,141,111,132,126,392,382,774,46,30,7
